;id_l;id_r;regular_jaccard;exec_time_regular;bc_jaccard;exec_time_bc;estimated_gas
0;36082;26163;0.39588688946015427;0.0010154247283935547;0.39588688946015427;0.21819806098937988;2069557
1;36082;32951;0.4219512195121951;0.0;0.4219512195121951;0.20200133323669434;2085979
2;36082;33420;0.38405797101449274;0.0;0.38405797101449274;0.19349384307861328;2075417
3;36197;16460;0.4084967320261438;0.0;0.4084967320261438;0.20731210708618164;2040467
4;36197;17026;0.444015444015444;0.0;0.444015444015444;0.18401551246643066;2028984
5;36197;27583;0.5686274509803921;0.0;0.5686274509803921;0.19411563873291016;2051978
6;36197;28808;0.43006993006993005;0.0;0.43006993006993005;0.19503450393676758;2037333
7;36197;33170;0.43205574912891986;0.0;0.43205574912891986;0.19295573234558105;2038189
8;36197;35021;0.42758620689655175;0.0010023117065429688;0.42758620689655175;0.2002429962158203;2038426
9;36200;19200;0.4583333333333333;0.0;0.4583333333333333;0.22908759117126465;2054927
